trip,tab,section,subsection,vendor,amount_usd,spent_on
Post Grad Trip,Europe,Alc,,The Round House,19.0,2025-05-13
Post Grad Trip,Europe,Alc,,Studio,12.0,2025-05-13
Post Grad Trip,Europe,Alc,,Roxy,23.0,2025-05-13
Post Grad Trip,Europe,Alc,,Roxy,7.0,2025-05-15
Post Grad Trip,Europe,Alc,,Tesco,7.0,2025-05-14
Post Grad Trip,Europe,Alc,,Tesco,7.0,2025-05-15
Post Grad Trip,Europe,Alc,,Belushi's,10.0,2025-05-14
Post Grad Trip,Europe,Alc,,Belushi's,15.0,2025-05-16
Post Grad Trip,Europe,Alc,,Belushi's,20.0,2025-05-19
Post Grad Trip,Europe,Alc,,Bear Pub London,11.0,2025-05-15
Post Grad Trip,Europe,Alc,,Public Drug Store,23.0,2025-05-17
Post Grad Trip,Europe,Alc,,Bierfabriek,25.0,2025-05-20
Post Grad Trip,Europe,Alc,,Chicago social,12.0,2025-05-20
Post Grad Trip,Europe,Alc,,RheinWeinWelt,25.0,2025-05-21
Post Grad Trip,Europe,Alc,,Piu a meno,5.0,2025-05-24
Post Grad Trip,Europe,Alc,,Fontenellato,26.0,2025-05-24
Post Grad Trip,Europe,Alc,,Cantiere Hambirreria,16.0,2025-05-25
Post Grad Trip,Europe,Alc,,New York guy place,22.0,2025-05-27
Post Grad Trip,Europe,Alc,,Bramble bar,27.0,2025-05-29
Post Grad Trip,Europe,Alc,,Yellow Bar,27.0,2025-05-29
Post Grad Trip,Europe,Alc,,The Basement,25.0,2025-05-30
Post Grad Trip,Europe,Alc,,Scholars Irish Pub,30.0,2025-05-31
Post Grad Trip,Europe,Alc,,Beach drinks,42.0,2025-06-02
Post Grad Trip,Europe,Alc,,Fauno,66.0,2025-06-02
Post Grad Trip,Europe,Alc,,Fauno,8.0,2025-06-03
Post Grad Trip,Europe,Alc,,Dans vibes,17.0,2025-06-03
Post Grad Trip,Europe,Alc,,Sorrento Beach,60.0,2025-06-04
Post Grad Trip,Europe,Alc,,Sangria,10.0,2025-06-06
Post Grad Trip,Europe,Alc,,Shoko Club,88.0,2025-06-06
Post Grad Trip,Europe,Alc,,Opium Club,76.0,2025-06-07
Post Grad Trip,Europe,Alc,,Belushis,26.0,2025-06-08
Post Grad Trip,Europe,Alc,,Bridge Tap,65.0,2025-06-09
Post Grad Trip,Europe,Alc,,The Blue Posts,26.0,2025-06-10
Post Grad Trip,Europe,Food,,Chilis,23.0,2025-05-12
Post Grad Trip,Europe,Food,,Bridge Tap,30.0,2025-05-13
Post Grad Trip,Europe,Food,,Vending machine,4.0,2025-05-13
Post Grad Trip,Europe,Food,,The Pavilion End,14.0,2025-05-14
Post Grad Trip,Europe,Food,,Pret a Manger,10.0,2025-05-15
Post Grad Trip,Europe,Food,,Pret a Manger,8.0,2025-05-16
Post Grad Trip,Europe,Food,,Spud Hut,13.0,2025-05-15
Post Grad Trip,Europe,Food,,Borough Market,13.0,2025-05-16
Post Grad Trip,Europe,Food,,Louvre Super Market,6.0,2025-05-16
Post Grad Trip,Europe,Food,,Enza Famigilia,30.0,2025-05-17
Post Grad Trip,Europe,Food,,Chamas Tacos,15.0,2025-05-17
Post Grad Trip,Europe,Food,,Bara Thierry,7.0,2025-05-18
Post Grad Trip,Europe,Food,,San Thomas,28.0,2025-05-18
Post Grad Trip,Europe,Food,,Dunkin,10.0,2025-05-19
Post Grad Trip,Europe,Food,,Belushi,7.0,2025-05-19
Post Grad Trip,Europe,Food,,Fabel Frites,8.0,2025-05-19
Post Grad Trip,Europe,Food,,Dirk super market,4.0,2025-05-20
Post Grad Trip,Europe,Food,,Bitterballen,15.0,2025-05-20
Post Grad Trip,Europe,Food,,Wok to Walk,15.0,2025-05-20
Post Grad Trip,Europe,Food,,Brutzelhaus,18.0,2025-05-21
Post Grad Trip,Europe,Food,,Doner Deluxe,9.0,2025-05-21
Post Grad Trip,Europe,Food,,Basel station Market,15.0,2025-05-22
Post Grad Trip,Europe,Food,,COOP,10.0,2025-05-22
Post Grad Trip,Europe,Food,,COOP,9.0,2025-05-23
Post Grad Trip,Europe,Food,,COOP,6.0,2025-05-24
Post Grad Trip,Europe,Food,,McDonald's,12.0,2025-05-22
Post Grad Trip,Europe,Food,,McDonald's,8.0,2025-05-25
Post Grad Trip,Europe,Food,,McDonald's,15.0,2025-05-29
Post Grad Trip,Europe,Food,,McDonald's,16.0,2025-05-31
Post Grad Trip,Europe,Food,,Oscars,13.0,2025-05-23
Post Grad Trip,Europe,Food,,Anatolia Pizza,12.0,2025-05-24
Post Grad Trip,Europe,Food,,Lil bakery,6.0,2025-05-24
Post Grad Trip,Europe,Food,,Street coffee,4.0,2025-05-25
Post Grad Trip,Europe,Food,,Cesarino Suerte,9.0,2025-05-26
Post Grad Trip,Europe,Food,,Luccisano,6.0,2025-05-26
Post Grad Trip,Europe,Food,,Gnocchi Lunch,20.0,2025-05-26
Post Grad Trip,Europe,Food,,Bar Costello,4.0,2025-05-26
Post Grad Trip,Europe,Food,,Cappellaio Matto,22.0,2025-05-26
Post Grad Trip,Europe,Food,,La Focacceria,9.0,2025-05-27
Post Grad Trip,Europe,Food,,Dolcemente Salato,17.0,2025-05-27
Post Grad Trip,Europe,Food,,Ristorante Convivió,28.0,2025-05-27
Post Grad Trip,Europe,Food,,Cream,12.0,2025-05-27
Post Grad Trip,Europe,Food,,Da Roberto,17.0,2025-05-28
Post Grad Trip,Europe,Food,,Figli Delle Stelle,30.0,2025-05-28
Post Grad Trip,Europe,Food,,Candy shop,9.0,2025-05-29
Post Grad Trip,Europe,Food,,Osteria Macorda,18.0,2025-05-29
Post Grad Trip,Europe,Food,,Osteria Macorda,16.0,2025-05-30
Post Grad Trip,Europe,Food,,Alessio,20.0,2025-05-30
Post Grad Trip,Europe,Food,,Pantheon Cream,17.0,2025-05-30
Post Grad Trip,Europe,Food,,Solterino,30.0,2025-05-31
Post Grad Trip,Europe,Food,,Station fruit,10.0,2025-06-01
Post Grad Trip,Europe,Food,,Ferry food,8.0,2025-06-01
Post Grad Trip,Europe,Food,,Syrenuse,17.0,2025-06-01
Post Grad Trip,Europe,Food,,Syrenuse,38.0,2025-06-04
Post Grad Trip,Europe,Food,,La basilica,30.0,2025-06-01
Post Grad Trip,Europe,Food,,Kontatto,20.0,2025-06-03
Post Grad Trip,Europe,Food,,Kontatto,20.0,2025-06-04
Post Grad Trip,Europe,Food,,Chicken Alfredo,21.0,2025-06-03
Post Grad Trip,Europe,Food,,Beach Pizza,40.0,2025-06-03
Post Grad Trip,Europe,Food,,Fauno,35.0,2025-06-05
Post Grad Trip,Europe,Food,,Workeat,10.0,2025-06-05
Post Grad Trip,Europe,Food,,Avinyo,33.0,2025-06-05
Post Grad Trip,Europe,Food,,Puke soup place,23.0,2025-06-06
Post Grad Trip,Europe,Food,,La poma,23.0,2025-06-06
Post Grad Trip,Europe,Food,,Taperia,29.0,2025-06-07
Post Grad Trip,Europe,Food,,La Foga,33.0,2025-06-07
Post Grad Trip,Europe,Food,,Tortilla,36.0,2025-06-08
Post Grad Trip,Europe,Food,,Starbucks,6.0,2025-06-09
Post Grad Trip,Europe,Food,,Heathrow,26.0,2025-06-10
Post Grad Trip,Europe,Flight/travel,,London round-trip,689.0,
Post Grad Trip,Europe,Flight/travel,,London round-trip,-700.0,
Post Grad Trip,Europe,Flight/travel,,EUrail Pass,382.0,
Post Grad Trip,Europe,Flight/travel,,EUrail Pass,-355.0,
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,London-Paris,50.0,2025-05-15
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,Interlaken-Milano,17.0,2025-05-24
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,Milano-Venice,17.0,2025-05-27
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,Venice-Rome,17.0,2025-05-29
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,Rome-Naples,17.0,2025-06-01
Post Grad Trip,Europe,Flight/travel,Eurail Reservation,Paris-London,48.0,2025-06-05
Post Grad Trip,Europe,Flight/travel,Lodging,London,83.0,2025-05-15
Post Grad Trip,Europe,Flight/travel,Lodging,Paris,65.0,2025-05-15
Post Grad Trip,Europe,Flight/travel,Lodging,Amsterdam,90.0,2025-05-18
Post Grad Trip,Europe,Flight/travel,Lodging,Rudesheim,36.0,2025-05-21
Post Grad Trip,Europe,Flight/travel,Lodging,Interlaken,150.0,2025-05-22
Post Grad Trip,Europe,Flight/travel,Lodging,Milano,143.0,2025-05-24
Post Grad Trip,Europe,Flight/travel,Lodging,Venice,77.0,2025-05-27
Post Grad Trip,Europe,Flight/travel,Lodging,Rome,204.0,2025-05-29
Post Grad Trip,Europe,Flight/travel,Lodging,Sorrento,187.0,2025-06-01
Post Grad Trip,Europe,Flight/travel,Lodging,Barcelona,219.0,2025-06-05
Post Grad Trip,Europe,Flight/travel,Lodging,London,47.0,2025-06-08
Post Grad Trip,Europe,Flight/travel,E-vehicle,London Forest,6.0,2025-05-14
Post Grad Trip,Europe,Flight/travel,E-vehicle,London Lime,10.0,2025-05-14
Post Grad Trip,Europe,Flight/travel,E-vehicle,Paris Lime,3.0,2025-05-17
Post Grad Trip,Europe,Flight/travel,E-vehicle,Milan Lime,6.0,2025-05-25
Post Grad Trip,Europe,Flight/travel,E-vehicle,Milan Lime,6.0,2025-05-27
Post Grad Trip,Europe,Flight/travel,E-vehicle,Rome Lime,8.0,2025-05-30
